cleaned_text,topic_id,topic_confidence,cluster_id,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,comment_id,token_count
kehadiran polri di desadesa dan perbatasan terbukti membawa dampak besar bagi program makan bergizi gratis demi masa depan generasi bangsa,2,0.7095,51,0.2295,0.0312,0.7095,0.0298,0,19
mulai dari jaga stabilitas harga bahan pokok sampai sukseskan makan bergizi gratis polri terbukti andal dalam menyukseskan program strategis pemerintah,1,0.745,44,0.0153,0.745,0.2245,0.0153,1,23
program makan bergizi gratis tidak hanya menjamin kecukupan gizi anakanak tapi juga berkontribusi mencetak generasi unggul menuju indonesia emas,0,0.5229,26,0.5229,0.0172,0.4431,0.0168,2,30
program makan bergizi gratis tidak hanya menjamin kecukupan gizi anakanak tapi juga berkontribusi mencetak generasi unggul menuju indonesia emas,0,0.9205,23,0.9205,0.0268,0.0259,0.0269,3,25
program makan bergizi gratis tidak hanya menjamin kecukupan gizi anakanak tapi juga berkontribusi mencetak generasi unggul menuju indonesia emas,0,0.9403,26,0.9403,0.0197,0.0198,0.0202,4,31
program makan bergizi gratis tidak hanya menjamin kecukupan gizi anakanak tapi juga berkontribusi mencetak generasi unggul menuju indonesia emas,2,0.5359,6,0.0217,0.0221,0.5359,0.4203,5,24
dukung program makan bergizi gratis ✅ asupan nutrisi yang cukup lahirkan generasi sehat dan cerdas demi masa depan indonesia yang hebat,3,0.6203,51,0.1266,0.1265,0.1266,0.6203,6,8
protein penuh anak cerdas makmur ✅ program makan bergizi gratis penuhi kebutuhan nutrisi protein agar anak tumbuh sehat cerdas dan siap meraih masa depan,2,0.9048,37,0.0315,0.032,0.9048,0.0318,7,15
moratorium dan perombakan total program makan bergizi gratis mbg tandatangani petisi lewat,1,0.9407,14,0.0207,0.9407,0.0199,0.0187,8,26
pidato prabowo pagi ini “tokohtokoh kepolisian aktif di semua sektor kenegaraan” “polri membantu secara aktif dan mendukung dalam menentukan programprogram strategis seperti program makan bergizi gratis” berarti secara ngga langsung membenarkan kalo mereka ‘berbisnis’ juga,3,0.9507,15,0.0169,0.0161,0.0163,0.9507,9,31
makan bergizi gratis adalah investasi untuk masa depan indonesia anakanak yang mendapatkan asupan gizi yang baik memiliki peluang lebih besar untuk tumbuh sehat belajar lebih optimal dan menjadi generasi unggul mari dukung bersama agar manfaatnya dirasakan semakin luas,0,0.9544,3,0.9544,0.0152,0.0151,0.0153,10,28
makan bergizi gratis adalah investasi untuk masa depan indonesia anakanak yang mendapatkan asupan gizi yang baik memiliki peluang lebih besar untuk tumbuh sehat belajar lebih optimal dan menjadi generasi unggul mari dukung bersama agar manfaatnya dirasakan semakin luas,3,0.919,45,0.0284,0.0261,0.0265,0.919,11,28
makan bergizi gratis adalah investasi untuk masa depan indonesia anakanak yang mendapatkan asupan gizi yang baik memiliki peluang lebih besar untuk tumbuh sehat belajar lebih optimal dan menjadi generasi unggul mari dukung bersama agar manfaatnya dirasakan semakin luas,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,12,21
makan bergizi gratis adalah investasi untuk masa depan indonesia anakanak yang mendapatkan asupan gizi yang baik memiliki peluang lebih besar untuk tumbuh sehat belajar lebih optimal dan menjadi generasi unggul mari dukung bersama agar manfaatnya dirasakan semakin luas,2,0.9408,6,0.0194,0.0197,0.9408,0.02,13,20
makan bergizi gratis bukan hanya memberi makan tapi juga menguatkan ekonomi keluarga dan membangun masa depan indonesia yang lebih sehat cerdas dan sejahtera,3,0.9501,2,0.0163,0.0166,0.017,0.9501,14,27
inovasi siapmbg pantau distribusi makan bergizi gratis tepat sasaran,3,0.9501,2,0.0163,0.0166,0.017,0.9501,15,27
,3,0.5583,21,0.0235,0.3941,0.0241,0.5583,16,21
klarifikasi hoax fabricated content salah kepala bgn nanik ditangkap karena terlibat kasus korupsi mbg beredar unggahan foto arsip dari akun facebook “nursusilawati daeatu” pada selasa berisi narasi “baru dilantik jadi kepala bgn naniek ditangkap cek fakta,2,0.8105,51,0.0627,0.0639,0.8105,0.0629,17,7
membangun keadilan gizi melalui program makan bergizi gratis,1,0.802,15,0.01,0.802,0.0102,0.1778,18,32
langkah bgn efisiensikan anggaran program makan bergizi gratis,2,0.957,6,0.0143,0.0143,0.957,0.0145,19,25
dukung program makan bergizi gratis untuk peningkatan gizi anakanak indonesia dan meningkatkan kesejahteraan masyarakat indonesia,2,0.957,6,0.0143,0.0143,0.957,0.0145,20,25
program makan bergizi gratis fokus pada penerima yang membutuhkan,2,0.9408,6,0.0194,0.0197,0.9408,0.02,21,20
dukung perbaikan untuk keberlanjutan program makan bergizi gratis,2,0.9451,6,0.018,0.0183,0.9451,0.0186,22,20
dukung bersama program makan bergizi gratis,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,23,21
dukung bersama program makan bergizi gratis,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,24,21
the saddest part is ibu ini jualan tengah malem bukan karena pengen tapi ya karena gak ada pilihan lain ” turut berduka atas balita tahun yang meninggal akibat jatuh ke lubang proyek galian di manggarai pas nemenin ibunya jualan es teh tengah malam sebenernya ini,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,25,21
,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,26,21
sebelum didistribusikan ribuan porsi mbg di sirandu jalani uji food safety organoleptik tim sidokkes polres cirebon kota melaksanakan pengecekan food safety secara organoleptik terhadap menu makan bergizi gratis mbg di sppg sirandu lemahwungkuk sebelum didistribusikan kepada,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,27,21
bagi anakanak di daerah terpencil program makan bergizi gratis bukan sekadar makanan — tapi harapan,1,0.5853,45,0.3475,0.5853,0.0332,0.034,28,12
makan bergizi gratis adalah investasi nyata untuk mencetak generasi sehat cerdas dan berdaya saing sekaligus menggerakkan ekonomi rakyat melalui pemberdayaan petani nelayan dan umkm lokal,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,29,21
makan bergizi gratis adalah investasi nyata untuk mencetak generasi sehat cerdas dan berdaya saing sekaligus menggerakkan ekonomi rakyat melalui pemberdayaan petani nelayan dan umkm lokal,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,30,21
belakangan muncul anggapan bahwa efisiensi anggaran membuat porsi program makan bergizi gratis mbg berkurang faktanya efisiensi bukan berarti mengurangi manfaat yang diterima masyarakat,1,0.6291,47,0.0272,0.6291,0.0253,0.3184,31,23
baca selengkapnya kepala bpom taruna ikrar menegaskan bpom menjalankan tugas pengawasan dalam program makan bergizi gratis sesuai ketentuan peraturan presiden nomor pengawasan tersebut mencakup bahan baku penyiapan distribusi hingga mitigasi,2,0.9574,0,0.014,0.0142,0.9574,0.0144,32,24
sebut program bansos rawan jadi kosmetik jangka pendek pakar dorong pendekatan teknokratik dan politik yang etis “bhw konfrontasi konseptual ini sgt relevan jika diletakkan dlm konteks aktual hari ini salah satunya pada program makan bergizi gratis”,1,0.8835,45,0.0396,0.8835,0.0372,0.0397,33,12
mbg makan bergizi gratis alhamdulillah enak terimakasih banyak,1,0.5705,48,0.0164,0.5705,0.397,0.0161,34,29
dpr dan badan gizi nasional matangkan program makan bergizi gratis ✍️✔️ �,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,35,21
programprogram pemerintah yang saat ini sedang dijalankan menunjukkan komitmen yang kuat untuk membangun indonesia secara lebih menyeluruh inisiatif seperti program makan bergizi gratis mbg sekolah rakyat hingga koperasi merah putih mencerminkan upaya pemerintah dalam,1,0.9602,5,0.0131,0.9602,0.0133,0.0134,36,26
perangkat desa dukung pelaksanaan mbg dan kopdes di hadapan mendes yandri persatuan perangkat desa indonesia ppdi menyatakan dukungan pelaksanaan programprogram prioritas presiden untuk kesejahteraan masyarakat antara lain koperasi desa merah putih makan bergizi gratis,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,37,21
program makan bergizi gratis terus dibenahi agar tepat sasaran pemerintah berkomitmen sikat habis praktik tidak terpuji dalam pelaksanaan program demi lindungi hak gizi anak bangsa mari kawal terus tata kelola yang transparan dan akuntabel,2,0.9547,39,0.0158,0.0145,0.9547,0.015,38,25
catatan merah halo sobat gita ‼️ program makan bergizi gratis diharapkan meningkatkan gizi anak bangsa namun dinilai berpotensi rawan penyimpangan uk pers mahasiswa giri taruna progresif kreatif dan faktual,1,0.9441,45,0.0183,0.9441,0.0184,0.0192,39,25
