comment_id,cleaned_text,token_count
0,kehadiran polri di desadesa dan perbatasan terbukti membawa dampak besar bagi program makan bergizi gratis demi masa depan generasi bangsa,19
1,mulai dari jaga stabilitas harga bahan pokok sampai sukseskan makan bergizi gratis polri terbukti andal dalam menyukseskan program strategis pemerintah,23
2,program makan bergizi gratis tidak hanya menjamin kecukupan gizi anakanak tapi juga berkontribusi mencetak generasi unggul menuju indonesia emas,30
3,program makan bergizi gratis tidak hanya menjamin kecukupan gizi anakanak tapi juga berkontribusi mencetak generasi unggul menuju indonesia emas,25
4,program makan bergizi gratis tidak hanya menjamin kecukupan gizi anakanak tapi juga berkontribusi mencetak generasi unggul menuju indonesia emas,31
5,program makan bergizi gratis tidak hanya menjamin kecukupan gizi anakanak tapi juga berkontribusi mencetak generasi unggul menuju indonesia emas,24
6,dukung program makan bergizi gratis ✅ asupan nutrisi yang cukup lahirkan generasi sehat dan cerdas demi masa depan indonesia yang hebat,8
7,protein penuh anak cerdas makmur ✅ program makan bergizi gratis penuhi kebutuhan nutrisi protein agar anak tumbuh sehat cerdas dan siap meraih masa depan,15
8,moratorium dan perombakan total program makan bergizi gratis mbg tandatangani petisi lewat,26
9,pidato prabowo pagi ini “tokohtokoh kepolisian aktif di semua sektor kenegaraan” “polri membantu secara aktif dan mendukung dalam menentukan programprogram strategis seperti program makan bergizi gratis” berarti secara ngga langsung membenarkan kalo mereka ‘berbisnis’ juga,31
10,makan bergizi gratis adalah investasi untuk masa depan indonesia anakanak yang mendapatkan asupan gizi yang baik memiliki peluang lebih besar untuk tumbuh sehat belajar lebih optimal dan menjadi generasi unggul mari dukung bersama agar manfaatnya dirasakan semakin luas,28
11,makan bergizi gratis adalah investasi untuk masa depan indonesia anakanak yang mendapatkan asupan gizi yang baik memiliki peluang lebih besar untuk tumbuh sehat belajar lebih optimal dan menjadi generasi unggul mari dukung bersama agar manfaatnya dirasakan semakin luas,28
12,makan bergizi gratis adalah investasi untuk masa depan indonesia anakanak yang mendapatkan asupan gizi yang baik memiliki peluang lebih besar untuk tumbuh sehat belajar lebih optimal dan menjadi generasi unggul mari dukung bersama agar manfaatnya dirasakan semakin luas,21
13,makan bergizi gratis adalah investasi untuk masa depan indonesia anakanak yang mendapatkan asupan gizi yang baik memiliki peluang lebih besar untuk tumbuh sehat belajar lebih optimal dan menjadi generasi unggul mari dukung bersama agar manfaatnya dirasakan semakin luas,20
14,makan bergizi gratis bukan hanya memberi makan tapi juga menguatkan ekonomi keluarga dan membangun masa depan indonesia yang lebih sehat cerdas dan sejahtera,27
15,inovasi siapmbg pantau distribusi makan bergizi gratis tepat sasaran,27
16,,21
