iteration,cluster_id,frequent_termset,support,entropy_overlap,n_remaining_docs_after
1,0,"komitmen, sekolah",8,0.209457,492
2,1,"agung, kepala",8,0.311842,484
3,2,"anak, prabowo",8,0.383221,476
4,3,"agung, kelola",8,0.392702,468
5,4,"aksi, monas",8,0.399233,460
6,5,"ekonomi, generasi",8,0.403666,452
7,6,"anak, rakyat",8,0.415076,444
8,7,"tingkat, umkm",8,0.448972,436
9,8,"dukung, sehat",8,0.476215,428
10,9,"ekonomi, penuh",8,0.516887,420
11,10,"dukung, sppg",8,0.517145,412
12,11,"masyarakat, penuh",8,0.522377,404
13,12,"desa, merah",8,0.548774,396
14,13,"dukung, ribu",8,0.56242,388
15,14,"investasi, sehat",8,0.566839,380
16,15,"gratis, wakil",8,0.580747,372
17,16,"mbg, tingkat",8,0.596055,364
18,17,"gizi, nelayan",9,0.603801,355
19,18,"gizi, subianto",8,0.569518,347
20,19,"badan, mbg",8,0.627872,339
21,20,"bukti, ekonomi",22,0.661501,317
22,21,"mbg, sehat",8,0.681693,309
23,22,"masyarakat, mbg",8,0.723044,301
24,23,"gizi, tumbuh",8,0.744556,293
25,24,"gratis, kelola",8,0.739059,285
26,25,"nilai, program",8,0.785673,277
27,26,"gratis, satu",8,0.819039,269
28,27,"anak, harap",8,0.827311,261
29,28,"mbg, nasional",8,0.851656,253
30,29,"cerdas, program",8,0.851675,245
31,30,"mbg, sorot",8,0.858391,237
32,31,"bgn, gratis",8,0.910671,229
33,32,"ekonomi, program",8,0.939302,221
34,33,"program, tingkat",8,0.855716,213
35,34,"program, sekolah",9,0.990943,204
36,35,"aksi, mbg",9,1.015714,195
37,36,"bangsa, gizi",8,1.049725,187
38,37,"nyata, program",8,0.967732,179
39,38,"gizi, jalan",8,1.110349,171
40,39,"anak, program",8,1.225487,163
41,40,"gratis, terima",8,1.326136,155
42,41,"gizi, hadir",8,1.337397,147
43,42,kait,8,1.691493,139
44,43,indonesia,8,1.600033,131
45,44,"dapur, gratis",8,1.524474,123
46,45,prabowo,9,1.616516,114
47,46,"perintah, program",10,1.868034,104
48,47,"mbg, program",10,1.743867,94
49,48,sekolah,9,2.185715,85
50,49,"dukung, program",15,2.70805,70
51,50,"gratis, program",14,3.223619,56
52,51,gizi,49,14.035449,7
53,52,RESIDUAL_UNASSIGNED,7,0.0,0
