topic_id,term,rank,probability
0,korupsi,0,0.020416008
0,kelola,1,0.018199481
0,perintah,2,0.017453734
0,duga,3,0.017445916
0,tata,4,0.017440738
0,dukung,5,0.016860144
0,nasional,6,0.015924137
0,bgn,7,0.014431125
0,agung,8,0.0136846965
0,jaksa,9,0.013679903
1,dukung,0,0.021886727
1,anak,1,0.018409826
1,desa,2,0.017634192
1,penuh,3,0.016253373
1,ekonomi,4,0.014863043
1,tingkat,5,0.014854663
1,masyarakat,6,0.014134515
1,generasi,7,0.013448498
1,prabowo,8,0.012063779
1,kualitas,9,0.011377571
2,rakyat,0,0.038637005
2,anak,1,0.027072428
2,bukti,2,0.026267143
2,pihak,3,0.02560034
2,kuat,4,0.02416166
2,kualitas,5,0.018323721
2,investasi,6,0.017609572
2,indonesiamaju,7,0.017581364
2,ekonomi,8,0.016897382
2,desa,9,0.016867876
3,anak,0,0.032919407
3,dukung,1,0.028270926
3,prabowo,2,0.022018174
3,aksi,3,0.015585884
3,presiden,4,0.015565257
3,perintah,5,0.014313915
3,sekolah,6,0.013672144
3,ekonomi,7,0.01303723
3,terima,8,0.0130091095
3,rakyat,9,0.012425844
